ID,TypeCode,Category,Name,NameLanguage,Description,DescriptionLanguage,SupplierID,SupplierName,TaxTarifCode,MeasureUnit,WeightMeasure,WeightUnit,CurrencyCode,Price,Width,Depth,Height,DimUnit,CreatedAt,ChangedAt
bcca1ac5-95ba-49e7-b604-e4cf0a95f000,PR,Notebooks,Notebook Basic 15,EN,"Notebook Basic 15 with 2,80 GHz quad core, 15"" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro",EN,100000046,SAP,1,EA,4.2,KG,EUR,956,30,18,3,CM,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
bcca1ac5-95ba-49e7-b604-e4cf0a95f001,PR,Notebooks,Notebook Basic 17,EN,"Notebook Basic 17 with 2,80 GHz quad core, 17"" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro",EN,100000047,Becker Berlin,1,EA,4.5,KG,EUR,1249,29,17,3.1,CM,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
bcca1ac5-95ba-49e7-b604-e4cf0a95f002,PR,Notebooks,Notebook Basic 18,EN,"Notebook Basic 18 with 2,80 GHz quad core, 18"" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro",EN,100000048,DelBont Industries,1,EA,4.2,KG,USD,1570,28,19,2.5,CM,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
bcca1ac5-95ba-49e7-b604-e4cf0a95f003,PR,Notebooks,Notebook Basic 19,EN,"Notebook Basic 19 with 2,80 GHz quad core, 19"" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro",EN,100000049,Talpa,1,EA,4.2,KG,EUR,1650,32,21,4,CM,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
bcca1ac5-95ba-49e7-b604-e4cf0a95f004,PR,PDAs & Organizers,ITelO Vault,EN,Digital Organizer with State-of-the-Art Storage Encryption,EN,100000050,Panorama Studios,1,EA,0.2,KG,USD,299,32,22,3,CM,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
bcca1ac5-95ba-49e7-b604-e4cf0a95f005,PR,Notebooks,Notebook Professional 15,EN,"Notebook Professional 15 with 2,80 GHz quad core, 15"" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro",EN,100000051,TECUM,1,EA,4.3,KG,EUR,1999,33,20,3,CM,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
bcca1ac5-95ba-49e7-b604-e4cf0a95f006,PR,Notebooks,Notebook Professional 17,EN,"Notebook Professional 17 with 2,80 GHz quad core, 17"" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro",EN,100000052,Asia High tech,1,EA,4.1,KG,JPY,229900,33,23,2,CM,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
bcca1ac5-95ba-49e7-b604-e4cf0a95f007,PR,PDAs & Organizers,ITelO Vault Net,EN,Digital Organizer with State-of-the-Art Encryption for Storage and Network Communications,EN,100000053,Laurent,1,EA,0.16,KG,EUR,459,10,1.8,17,CM,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
bcca1ac5-95ba-49e7-b604-e4cf0a95f008,PR,PDAs & Organizers,ITelO Vault SAT,EN,Digital Organizer with State-of-the-Art Encryption for Storage and Secure Stellite Link,EN,100000054,AVANTEL,1,EA,0.18,KG,MXN,149,11,1.7,18,CM,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
bcca1ac5-95ba-49e7-b604-e4cf0a95f009,PR,PDAs & Organizers,Comfort Easy,EN,32 GB Digital Assistant with high-resolution color screen,EN,100000055,Telecomunicaciones Star,1,EA,0.2,KG,ARS,1679,84,1.5,14,CM,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
bcca1ac5-95ba-49e7-b604-e4cf0a95f010,PR,PDAs & Organizers,Comfort Senior,EN,64 GB Digital Assistant with high-resolution color screen and synthesized voice output,EN,100000056,Pear Computing Services,1,EA,0.8,KG,USD,512,80,1.6,13,CM,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
bcca1ac5-95ba-49e7-b604-e4cf0a95f011,PR,Flat Screen Monitors,Ergo Screen E-I,EN,"Optimum Hi-Resolution max. 1920 x 1080 @ 85Hz, Dot Pitch: 0.27mm",EN,100000057,Alpine Systems,1,EA,21,KG,EUR,230,37,12,36,CM,2023-12-21T10:05:13Z,2023-12-21T10:05:13Z
